PUMA2020,elasticity,delta_bar,A_g,α_g,delta_g,HDD_g,CDD_g
603760,0.10018561,0.03375719184044998,-0.008198335434129875,-0.008369926376866657,0.12462461707893514,-172.66346818964442,210.4585422470613
603761,0.14794137,0.04061936833161139,-0.008198335434129875,-0.008369926376866657,0.12462473572510291,-172.66346818964442,210.4585422470613
603762,0.16463368,0.06831075830706822,-0.008493275739269392,-0.008861150071496623,0.12462468912535936,-170.15843578417753,216.48155853336033
603763,0.16323021,0.040601508451117096,-0.00908003940338953,-0.009838406180414545,0.12462472026867566,-165.1748443002122,228.4639395223958
603764,0.16437198,0.042526088054095634,-0.00908003940338953,-0.009838406180414545,0.12462463599803596,-165.1748443002122,228.4639395223958
603766,0.20568456,0.04623424506321425,-0.00904275843544157,-0.009806766525914317,0.12462486320408343,-164.09524178316718,227.4546029360795
603767,0.12896571,0.04875818691457642,-0.00793701307066381,-0.007945896770024127,0.1246253128854853,-174.3692895706584,205.03079640759083
603768,0.18914334,0.3968637161749038,-0.005606422497411904,-0.004077278756342109,0.1246248416873846,-193.56842657949323,157.33172703302193
603770,0.13479459,0.022676046241319477,-0.0072406194298637915,-0.0060694817895026645,0.12462471595356807,-213.1393139618558,196.6457866876058
603771,0.24415869,0.12733938429214295,-0.004848068701609904,-0.0010062714254626022,0.12462492120360623,-282.9061570365639,156.57036345627353
603772,0.56755686,3.73095891271881,-0.004156289654767541,0.000717514430564066,0.12462459288050316,-314.9912116583013,147.09908923683733
603773,0.20917057,0.17371600760541145,-0.00442189624510389,-9.066757038610034e-5,0.12462489106754028,-295.9624700460584,149.54368974730184
603774,0.31239739,0.3185813612140737,-0.005515378766771496,-0.002899473946980858,0.1246247949439939,-241.3924715943701,163.8302146203047
603775,0.18673284,0.0686060780305885,-0.007210796805549875,-0.005997847511305011,0.12462483648887698,-214.39970424130806,196.21566688386997
603776,0.12347863,0.022681029608419345,-0.007210796805549875,-0.005997847511305011,0.12462463641818329,-214.39970424130806,196.21566688386997
603778,0.15386823,0.03054902645174639,-0.008198335434129875,-0.008369926376866657,0.12462478098099014,-172.66346818964442,210.4585422470613
603779,0.13668765,0.052476781695810694,-0.009076535760350139,-0.009835432704634266,0.12462477299169955,-165.0733839022571,228.36908267452677
603780,0.16253777,0.02824517148909801,-0.009078988653133249,-0.009837514428485756,0.12462510056716238,-165.14441610363068,228.43549174501442
603781,0.17189123,0.04427038020999385,-0.00908003940338953,-0.009838406180414545,0.12462470232770319,-165.1748443002122,228.4639395223958
603782,0.18535203,0.03759854480497268,-0.00908003940338953,-0.009838406180414545,0.12462485003063342,-165.1748443002122,228.4639395223958
603900,0.6454087826183901,0.6079876126771536,-0.009225461497367892,-0.008710361643411785,0.18754904754774585,-226.76657328864417,242.5936566010068
604103,0.37541908,0.9530100993216897,-0.004145470515303712,-0.0005024336674868402,0.06806858826642463,-258.3213020679121,136.79546188714474
604104,0.28744817,0.07238274178568327,-0.0026854708112049284,0.0023325334184911067,0.06806836595666542,-289.2148086428033,110.26558686867622
604701,0.72986364,1.811708011448505,-0.006716967564881348,-0.0046991682332811376,0.1335290463083586,-240.428382443839,190.0095934797466
